📄 Log File: /content/rapidfireai/logs/exp1-fiqa-rag-colab/rapidfire.log

================================================================================
Last 30 lines of rapidfire.log:
================================================================================
2026-01-27 07:41:15 | QueryProcessingActor-0 | INFO | query_actor.py:178 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-01-27 07:41:15 | QueryProcessingActor-0 | INFO | query_actor.py:187 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-01-27 07:41:15 | QueryProcessingActor-0 | INFO | query_actor.py:196 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-01-27 07:41:15 | QueryProcessingActor-0 | INFO | query_actor.py:218 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Recreated RAG spec with retriever and template
2026-01-27 07:41:21 | Controller | INFO | controller.py:1044 | [exp1-fiqa-rag-colab:Controller] Pipeline 2 completed all 4 shards
2026-01-27 07:41:21 | Controller | INFO | controller.py:1149 | [exp1-fiqa-rag-colab:Controller] Pipeline 2 completed shard 3 (1 batches, 6.01s)
2026-01-27 07:41:21 | Controller | INFO | controller.py:1251 | [exp1-fiqa-rag-colab:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 0 for shard 3 (1 batches)
2026-01-27 07:41:21 | QueryProcessingActor-0 | INFO | query_actor.py:143 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Reusing existing inference engine (config hash: f895be3c)
2026-01-27 07:41:21 | QueryProcessingActor-0 | INFO | query_actor.py:162 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-01-27 07:41:21 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-01-27 07:41:21 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:227 | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-01-27 07:41:23 | QueryProcessingActor-0 | INFO | query_actor.py:178 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-01-27 07:41:23 | QueryProcessingActor-0 | INFO | query_actor.py:187 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-01-27 07:41:23 | QueryProcessingActor-0 | INFO | query_actor.py:196 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-01-27 07:41:23 | QueryProcessingActor-0 | INFO | query_actor.py:218 | [exp1-fiqa-rag-colab:QueryProcessingActor-0] Recreated RAG spec with retriever and template
2026-01-27 07:41:28 | Controller | INFO | controller.py:1044 | [exp1-fiqa-rag-colab:Controller] Pipeline 3 completed all 4 shards
2026-01-27 07:41:28 | Controller | INFO | controller.py:1149 | [exp1-fiqa-rag-colab:Controller] Pipeline 3 completed shard 3 (1 batches, 5.01s)
2026-01-27 07:41:28 | Controller | INFO | controller.py:1215 | [exp1-fiqa-rag-colab:Controller] All pipelines completed all shards!
2026-01-27 07:41:28 | Controller | INFO | controller.py:571 | [exp1-fiqa-rag-colab:Controller] Computing final metrics for all pipelines...
2026-01-27 07:41:28 | Experiment | INFO | metric_rfmetric_manager.py:137 | [exp1-fiqa-rag-colab:Experiment] Ending run: Pipeline 1_1 in rf_tensorboard
2026-01-27 07:41:28 | Controller | INFO | controller.py:731 | [exp1-fiqa-rag-colab:Controller] Pipeline 1 (Pipeline 1) completed successfully
2026-01-27 07:41:28 | Experiment | INFO | metric_rfmetric_manager.py:137 | [exp1-fiqa-rag-colab:Experiment] Ending run: Pipeline 2_2 in rf_tensorboard
2026-01-27 07:41:28 | Controller | INFO | controller.py:731 | [exp1-fiqa-rag-colab:Controller] Pipeline 2 (Pipeline 2) completed successfully
2026-01-27 07:41:28 | Experiment | INFO | metric_rfmetric_manager.py:137 | [exp1-fiqa-rag-colab:Experiment] Ending run: Pipeline 3_3 in rf_tensorboard
2026-01-27 07:41:28 | Controller | INFO | controller.py:731 | [exp1-fiqa-rag-colab:Controller] Pipeline 3 (Pipeline 3) completed successfully
2026-01-27 07:53:36 | ExperimentUtils | INFO | experiment_utils.py:180 | [exp1-fiqa-rag-colab:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-01-27 07:53:36 | ExperimentUtils | INFO | experiment_utils.py:188 | [exp1-fiqa-rag-colab:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-01-27 07:53:36 | ExperimentUtils | INFO | experiment_utils.py:154 | [exp1-fiqa-rag-colab:ExperimentUtils] Experiment exp1-fiqa-rag-colab ended
2026-01-27 07:53:38 | Experiment | INFO | experiment.py:564 | [exp1-fiqa-rag-colab:Experiment] All actors shut down
2026-01-27 07:53:38 | Experiment | INFO | experiment.py:565 | [exp1-fiqa-rag-colab:Experiment] Dispatcher will automatically shut down (daemon thread)
